eglise_id,nom_eglise,pays_id,nom_pays,annee_inscription,style_architectural,courte_description
68,Reims Cathedral,169,France,,,Roman Catholic cathedral of Reims in France
69,Saint-Bertrand-de-Comminges Cathedral,170,France,,,"cathedral located in Haute-Garonne, in France"
70,Saint-Lizier Cathedral,171,France,,,"cathedral located in Ariège, in France"
71,Svetitskhoveli Cathedral,172,Géorgie,,,"cathedral in Mtskheta, Georgia"
72,Cefalù Cathedral,173,Italie,,,cathedral in Italy
73,Modena Cathedral,174,Italie,,,"cathedral of Modena, Emilia-Romagna, Italy"
74,Cattedrale di Monreale,175,Italie,,,"church in Monreale, Sicily"
75,Palermo Cathedral,176,Italie,,,cathedral in Italy 
76,Cuernavaca Cathedral,177,Mexique,,,"religious building in Cuernavaca, Mexico"
77,Canterbury Cathedral,178,Royaume-Uni,,,"cathedral in Canterbury, Kent, England, founded in 597 "
78,Saint John the Baptist Cathedral (Pskov),179,Russie,,,
79,Cathedral of the Nativity in Suzdal,180,Russie,,,"Orthodox cathedral in Suzdal, Vladimir Oblast, Russia "
80,Dormition Cathedral,181,Ukraine,,,"cathedral in Odesa, Ukraine"
81,Cathedral of Saint Demetrius,182,Roumanie,,,"Romanian Orthodox cathedral in Craiova, Romania"
82,Saint Sophia Cathedral,183,Ukraine,,,cathédrale gothique catholique devenue mosquée
83,Church of San Francisco,184,Chile,,,national monument of Chile
84,Church of Quinchao,185,Chile,,,church 
85,Regensburg Cathedral,186,Allemagne,,,cathedral in Germany
86,Zvartnots Cathedral,187,Arménie,,,cathedral in Armenia
87,Graz Cathedral,188,Autriche,,,cathedral of the catholic diocese of Graz-Seckau
88,Salzburg Cathedral,189,Autriche,,,church in Austriaedit
89,St. Stephen's Cathedral,190,Autriche,,,"church in Vienna, Austria "
90,"Cathedral Church of Saint Michael and All Angels, Barbados",191,Barbade,,,Cathedral Church in Barbados 
91,"St. Patrick's Cathedral, Bridgetown",192,Barbade,,,"church in Bruges, Belgium"
92,Sint-Salvatorskathedraal,193,Belgique,,,"church in Bruges, Belgium"
93,Sucre Cathedral,194,Bolivie,,,"16th century Roman Catholic church in Sucre, Bolivia"
94,Roman Catholic Cathedral of Goiás,195,Brésil,,,
95,Cathedral of St. Louis of France,196,Brésil,,,"Religious church building located in Cáceres, Mato Grosso, Brazil "
96,Notre-Dame Basilica-Cathedral,197,Canada,,,"Catholic cathedral in Quebec City, Quebec, Canada"
97,Igreja da Sé,198,Chine,,,cathedral of the Diocese of Macau
98,St Paul's Cathedral,199,Royaume-Uni,,,"cathedral in the City of London, England, UK"
99,Dubrovnik Cathedral,200,Croatie,,,cathedral 
100,Havana Cathedral,201,Cuba,,,"Roman Catholic cathedral in Havana, Cuba"
101,Garðar Cathedral,202,Greenland,,,"ruined cathedral in Igaliku, Greenland "
